file,cog,note,size_mb_before,size_mb_after,overviews
crop_ndmi_2026.tif,True,ok,2.19,2.86,3
crop_stress_change.tif,True,ok,2.19,2.87,3
landcover_souss.tif,True,ok,0.16,0.22,3
ndvi_change_argan.tif,True,ok,3.59,4.73,3
precip_rainshadow.tif,True,ok,0.03,0.03,0
precip_souss_massa.tif,True,ok,0.08,0.11,1
souss_change.tif,True,ok,6.36,8.38,3
souss_irrigated.tif,True,ok,0.15,0.2,4
souss_lostgreen_class.tif,True,ok,0.14,0.18,3
souss_ndvi.tif,True,ok,6.45,8.54,4
souss_ndvi_2018.tif,True,ok,6.15,8.06,3
souss_ndvi_2026.tif,True,ok,6.0,7.91,3
