region,date,lwe_cm
Souss-Massa (my region),2002-04-18,0.285
Souss-Massa (my region),2002-05-10,-2.13
Souss-Massa (my region),2002-08-16,-0.942
Souss-Massa (my region),2002-09-16,0.691
Souss-Massa (my region),2002-10-16,-0.952
Souss-Massa (my region),2002-11-16,1.05
Souss-Massa (my region),2002-12-16,0.447
Souss-Massa (my region),2003-01-16,0.299
Souss-Massa (my region),2003-02-15,0.544
Souss-Massa (my region),2003-03-16,1.391
Souss-Massa (my region),2003-04-16,-0.916
Souss-Massa (my region),2003-05-11,-2.112
Souss-Massa (my region),2003-07-16,-1.059
Souss-Massa (my region),2003-08-16,-0.721
Souss-Massa (my region),2003-09-16,-0.628
Souss-Massa (my region),2003-10-16,0.135
Souss-Massa (my region),2003-11-16,-1.027
Souss-Massa (my region),2003-12-16,2.019
Souss-Massa (my region),2004-01-07,1.041
Souss-Massa (my region),2004-02-17,0.349
Souss-Massa (my region),2004-03-16,-0.432
Souss-Massa (my region),2004-04-16,0.468
Souss-Massa (my region),2004-05-16,-0.354
Souss-Massa (my region),2004-06-16,-1.319
Souss-Massa (my region),2004-07-16,1.251
Souss-Massa (my region),2004-08-16,-0.58
Souss-Massa (my region),2004-09-16,-1.854
Souss-Massa (my region),2004-10-16,-3.723
Souss-Massa (my region),2004-11-16,-0.9
Souss-Massa (my region),2004-12-16,0.792
Souss-Massa (my region),2005-01-16,0.566
Souss-Massa (my region),2005-02-15,0.934
Souss-Massa (my region),2005-03-16,1.435
Souss-Massa (my region),2005-04-16,-1.062
Souss-Massa (my region),2005-05-16,-0.26
Souss-Massa (my region),2005-06-16,-0.55
Souss-Massa (my region),2005-07-16,-0.946
Souss-Massa (my region),2005-08-16,-0.662
Souss-Massa (my region),2005-09-16,0.038
Souss-Massa (my region),2005-10-16,0.408
Souss-Massa (my region),2005-11-16,0.142
Souss-Massa (my region),2005-12-16,1.327
Souss-Massa (my region),2006-01-16,0.408
Souss-Massa (my region),2006-02-15,2.259
Souss-Massa (my region),2006-03-16,3.367
Souss-Massa (my region),2006-04-16,3.073
Souss-Massa (my region),2006-05-16,0.282
Souss-Massa (my region),2006-06-16,1.215
