region,date,total_cm,soil_cm,groundwater_cm
Souss-Massa (my region),2002-04-01,0.285,2.976,-2.691
Souss-Massa (my region),2002-05-01,-2.13,0.539,-2.669
Souss-Massa (my region),2002-08-01,-0.942,-0.73,-0.212
Souss-Massa (my region),2002-09-01,0.691,-0.888,1.579
Souss-Massa (my region),2002-10-01,-0.952,-0.906,-0.046
Souss-Massa (my region),2002-11-01,1.05,1.038,0.012
Souss-Massa (my region),2002-12-01,0.447,4.17,-3.723
Souss-Massa (my region),2003-01-01,0.299,3.057,-2.758
Souss-Massa (my region),2003-02-01,0.544,1.495,-0.951
Souss-Massa (my region),2003-03-01,1.391,0.969,0.422
Souss-Massa (my region),2003-04-01,-0.916,0.368,-1.284
Souss-Massa (my region),2003-05-01,-2.112,-0.267,-1.845
Souss-Massa (my region),2003-07-01,-1.059,-0.889,-0.17
Souss-Massa (my region),2003-08-01,-0.721,-0.982,0.261
Souss-Massa (my region),2003-09-01,-0.628,-1.145,0.517
Souss-Massa (my region),2003-10-01,0.135,0.133,0.002
Souss-Massa (my region),2003-11-01,-1.027,1.934,-2.961
Souss-Massa (my region),2003-12-01,2.019,2.733,-0.714
Souss-Massa (my region),2004-01-01,1.041,1.159,-0.118
Souss-Massa (my region),2004-02-01,0.349,1.59,-1.241
Souss-Massa (my region),2004-03-01,-0.432,1.999,-2.431
Souss-Massa (my region),2004-04-01,0.468,0.933,-0.465
Souss-Massa (my region),2004-05-01,-0.354,0.411,-0.765
Souss-Massa (my region),2004-06-01,-1.319,-0.369,-0.95
Souss-Massa (my region),2004-07-01,1.251,-0.749,2.0
Souss-Massa (my region),2004-08-01,-0.58,-0.935,0.355
Souss-Massa (my region),2004-09-01,-1.854,-1.068,-0.786
Souss-Massa (my region),2004-10-01,-3.723,-1.069,-2.654
Souss-Massa (my region),2004-11-01,-0.9,-0.232,-0.668
Souss-Massa (my region),2004-12-01,0.792,0.431,0.361
Souss-Massa (my region),2005-01-01,0.566,-0.11,0.676
Souss-Massa (my region),2005-02-01,0.934,-0.366,1.3
Souss-Massa (my region),2005-03-01,1.435,2.057,-0.622
Souss-Massa (my region),2005-04-01,-1.062,-0.008,-1.054
Souss-Massa (my region),2005-05-01,-0.26,-0.681,0.421
Souss-Massa (my region),2005-06-01,-0.55,-1.01,0.46
Souss-Massa (my region),2005-07-01,-0.946,-1.304,0.358
Souss-Massa (my region),2005-08-01,-0.662,-1.415,0.753
Souss-Massa (my region),2005-09-01,0.038,-1.557,1.595
Souss-Massa (my region),2005-10-01,0.408,0.358,0.05
Souss-Massa (my region),2005-11-01,0.142,-0.149,0.291
Souss-Massa (my region),2005-12-01,1.327,0.897,0.43
Souss-Massa (my region),2006-01-01,0.408,2.438,-2.03
Souss-Massa (my region),2006-02-01,2.259,6.041,-3.782
Souss-Massa (my region),2006-03-01,3.367,4.206,-0.839
Souss-Massa (my region),2006-04-01,3.073,2.046,1.027
Souss-Massa (my region),2006-05-01,0.282,1.088,-0.806
Souss-Massa (my region),2006-06-01,1.215,0.524,0.691
Souss-Massa (my region),2006-07-01,0.62,0.151,0.469
Souss-Massa (my region),2006-08-01,0.878,-0.144,1.022
Souss-Massa (my region),2006-09-01,0.21,-0.335,0.545
Souss-Massa (my region),2006-10-01,-0.828,-0.211,-0.617
Souss-Massa (my region),2006-11-01,0.081,0.04,0.041
Souss-Massa (my region),2006-12-01,0.449,0.09,0.359
Souss-Massa (my region),2007-01-01,0.582,-0.251,0.833
Souss-Massa (my region),2007-02-01,1.344,0.588,0.756
Souss-Massa (my region),2007-03-01,-0.526,-0.347,-0.179
Souss-Massa (my region),2007-04-01,-0.562,-0.502,-0.06
Souss-Massa (my region),2007-05-01,-0.037,-0.775,0.738
Souss-Massa (my region),2007-06-01,-0.501,-0.934,0.433
Souss-Massa (my region),2007-07-01,-0.969,-1.062,0.093
Souss-Massa (my region),2007-08-01,0.309,-0.992,1.301
Souss-Massa (my region),2007-09-01,-3.115,-1.13,-1.985
