year,ndvi
2000,0.14016962962962964
2001,0.13877267847557703
2002,0.160733064949007
2003,0.19004981213097158
2004,0.18000536768652714
2005,0.1626914653784219
2006,0.17128727858293075
2007,0.14774653784219002
2008,0.15063746645195922
2009,0.1931210413311863
2010,0.20299651100375737
2011,0.20341905528717125
2012,0.18083880837359098
2013,0.19762796564680624
2014,0.1570111647879764
2015,0.17746682769726246
2016,0.1371010735373054
2017,0.16999436392914655
2018,0.1678339237788513
2019,0.17212367149758453
2020,0.13821878690284486
2021,0.16801959205582395
2022,0.13985850778314549
2023,0.15202367149758453
2024,0.12738856682769728
2025,0.13243172302737521
2026,0.20449283950617284
