year,population,renewable_internal_pc_m3,renewable_internal_total_bcm,withdrawal_agriculture_pct,withdrawal_pct_internal
1960,11624933.0,,,,
1961,11931085.0,2430.62554662883,29.0,,
1962,12253092.0,2366.74955186821,29.0,,
1963,12577502.0,2305.70426464651,29.0,,
1964,12898886.0,2248.25616723801,29.0,,
1965,13239171.0,2190.46947879138,29.0,,
1966,13597065.0,2132.81322108852,29.0,,
1967,13968175.0,2076.14810095091,29.0,,
1968,14347899.0,2021.20184983181,29.0,,
1969,14734255.0,1968.20266786478,29.0,,
1970,15129449.0,1916.79155004257,29.0,,
1971,15527225.0,1867.68723967097,29.0,,
1972,15924692.0,1821.07132747057,29.0,,
1973,16326269.0,1776.27846264202,29.0,,
1974,16733842.0,1733.01504818798,29.0,,
1975,17150786.0,1690.88460435574,29.0,,31.0344827586207
1976,17574182.0,1650.14792722643,29.0,,31.7586206896552
1977,18014756.0,1609.79143986186,29.0,,32.4827586206897
1978,18477385.0,1569.48615834979,29.0,,33.2068965517241
1979,18955589.0,1529.89179075364,29.0,,33.9310344827586
1980,19459943.0,1490.24074736498,29.0,,34.6551724137931
1981,19985401.0,1451.05920066352,29.0,,35.3103448275862
1982,20520318.0,1413.23345963742,29.0,,35.9655172413793
1983,21060696.0,1376.97253690002,29.0,,36.6206896551724
1984,21593778.0,1342.9794452828,29.0,,37.2758620689655
1985,22113953.0,1311.38923918306,29.0,,37.9310344827586
1986,22600803.0,1283.14024948583,29.0,,37.2275862068966
1987,23054392.0,1257.89480806954,29.0,,36.5241379310345
1988,23500524.0,1234.01503728172,29.0,,35.8206896551724
1989,23939414.0,1211.39138994797,29.0,,35.1172413793103
1990,24375551.0,1189.71669604515,29.0,89.15831663,34.4020689655172
1991,24799014.0,1169.40133184327,29.0,90.73959572,36.238275862069
1992,25212468.0,1150.22456349771,29.0,92.16840199,38.0744827586207
1993,25614586.0,1132.16742991669,29.0,91.33448088,38.0503448275862
1994,26000822.0,1115.34935318583,29.0,89.21358356,38.5744827586207
1995,26399429.0,1098.50860789451,29.0,87.77975133,38.8158620689655
1996,26808107.0,1081.76231913727,29.0,89.14481226,39.0899310344828
1997,27213337.0,1065.65394754785,29.0,88.65478815,40.1795172413793
1998,27621648.0,1049.90114999655,29.0,88.19068618,41.2691034482759
1999,28027179.0,1034.70991497218,29.0,87.75050243,42.3586896551724
2000,28423435.0,1020.28484593787,29.0,87.31165741,43.448275862069
2001,28814643.0,1006.43273630008,29.0,80.4434234,47.2637931034483
2002,29198142.0,993.213883266956,29.0,74.58153348,51.0793103448276
2003,29571415.0,980.676778571468,29.0,75.7873895,49.251724137931
2004,29953018.0,968.18290564243,29.0,77.08959711,47.4241379310345
2005,30358144.0,955.26261420988,29.0,78.50018506,45.5965517241379
2006,30771178.0,942.440357661965,29.0,80.03327128,43.7689655172414
2007,31186468.0,929.890489682897,29.0,81.7055371,41.9413793103448
2008,31606767.0,917.525035066067,29.0,83.53683663,40.1137931034483
2009,32030778.0,905.379194973035,29.0,85.55098881,38.2862068965517
2010,32467016.0,893.214208537058,29.0,87.7768191,36.4586206896552
2011,32912588.0,881.121837030865,29.0,87.7768191,36.4586206896552
2012,33355241.0,869.428585450784,29.0,87.7768191,36.4586206896552
2013,33787571.0,858.303782772665,29.0,87.7768191,36.4586206896552
2014,34204780.0,847.834717837682,29.0,87.7768191,36.4586206896552
2015,34607588.0,837.966517631914,29.0,87.7768191,36.4586206896552
2016,35023457.0,828.016491918545,29.0,87.7768191,36.4586206896552
2017,35446392.0,818.136864254054,29.0,87.7768191,36.4586206896552
2018,35839760.0,809.157204177707,29.0,87.7768191,36.4586206896552
2019,36210898.0,800.863872528099,29.0,87.7768191,36.4586206896552
2020,36584208.0,792.69175377529,29.0,87.7768191,36.4586206896552
2021,36954442.0,784.750044392498,29.0,87.7768191,36.4586206896552
2022,37329064.0,776.874555440233,29.0,87.7768191,36.4586206896552
2023,37712505.0,,,,
2024,38081173.0,,,,
2025,38430770.0,,,,
