year,value,indicator
1961,2430.62554662883,renewable_internal_pc_m3
1962,2366.74955186821,renewable_internal_pc_m3
1963,2305.70426464651,renewable_internal_pc_m3
1964,2248.25616723801,renewable_internal_pc_m3
1965,2190.46947879138,renewable_internal_pc_m3
1966,2132.81322108852,renewable_internal_pc_m3
1967,2076.14810095091,renewable_internal_pc_m3
1968,2021.20184983181,renewable_internal_pc_m3
1969,1968.20266786478,renewable_internal_pc_m3
1970,1916.79155004257,renewable_internal_pc_m3
1971,1867.68723967097,renewable_internal_pc_m3
1972,1821.07132747057,renewable_internal_pc_m3
1973,1776.27846264202,renewable_internal_pc_m3
1974,1733.01504818798,renewable_internal_pc_m3
1975,1690.88460435574,renewable_internal_pc_m3
1976,1650.14792722643,renewable_internal_pc_m3
1977,1609.79143986186,renewable_internal_pc_m3
1978,1569.48615834979,renewable_internal_pc_m3
1979,1529.89179075364,renewable_internal_pc_m3
1980,1490.24074736498,renewable_internal_pc_m3
1981,1451.05920066352,renewable_internal_pc_m3
1982,1413.23345963742,renewable_internal_pc_m3
1983,1376.97253690002,renewable_internal_pc_m3
1984,1342.9794452828,renewable_internal_pc_m3
1985,1311.38923918306,renewable_internal_pc_m3
1986,1283.14024948583,renewable_internal_pc_m3
1987,1257.89480806954,renewable_internal_pc_m3
1988,1234.01503728172,renewable_internal_pc_m3
1989,1211.39138994797,renewable_internal_pc_m3
1990,1189.71669604515,renewable_internal_pc_m3
1991,1169.40133184327,renewable_internal_pc_m3
1992,1150.22456349771,renewable_internal_pc_m3
1993,1132.16742991669,renewable_internal_pc_m3
1994,1115.34935318583,renewable_internal_pc_m3
1995,1098.50860789451,renewable_internal_pc_m3
1996,1081.76231913727,renewable_internal_pc_m3
1997,1065.65394754785,renewable_internal_pc_m3
1998,1049.90114999655,renewable_internal_pc_m3
1999,1034.70991497218,renewable_internal_pc_m3
2000,1020.28484593787,renewable_internal_pc_m3
2001,1006.43273630008,renewable_internal_pc_m3
2002,993.213883266956,renewable_internal_pc_m3
2003,980.676778571468,renewable_internal_pc_m3
2004,968.18290564243,renewable_internal_pc_m3
2005,955.26261420988,renewable_internal_pc_m3
2006,942.440357661965,renewable_internal_pc_m3
2007,929.890489682897,renewable_internal_pc_m3
2008,917.525035066067,renewable_internal_pc_m3
2009,905.379194973035,renewable_internal_pc_m3
2010,893.214208537058,renewable_internal_pc_m3
2011,881.121837030865,renewable_internal_pc_m3
2012,869.428585450784,renewable_internal_pc_m3
2013,858.303782772665,renewable_internal_pc_m3
2014,847.834717837682,renewable_internal_pc_m3
2015,837.966517631914,renewable_internal_pc_m3
2016,828.016491918545,renewable_internal_pc_m3
2017,818.136864254054,renewable_internal_pc_m3
2018,809.157204177707,renewable_internal_pc_m3
2019,800.863872528099,renewable_internal_pc_m3
2020,792.69175377529,renewable_internal_pc_m3
2021,784.750044392498,renewable_internal_pc_m3
2022,776.874555440233,renewable_internal_pc_m3
1961,29.0,renewable_internal_total_bcm
