lon,lat,precip_mm
-9.85,30.1,209.6
-9.567,30.1,291.7
-9.283,30.1,291.7
-9.0,30.1,217.3
-8.717,30.1,217.3
-8.433,30.1,251.0
-8.15,30.1,251.0
-9.85,30.357,197.8
-9.567,30.357,266.3
-9.283,30.357,266.3
-9.0,30.357,254.5
-8.717,30.357,254.5
-8.433,30.357,240.6
-8.15,30.357,240.6
-9.85,30.614,197.8
-9.567,30.614,266.3
-9.283,30.614,266.3
-9.0,30.614,254.5
-8.717,30.614,254.5
-8.433,30.614,240.6
-8.15,30.614,240.6
-9.85,30.871,246.5
-9.567,30.871,368.0
-9.283,30.871,368.0
-9.0,30.871,341.8
-8.717,30.871,341.8
-8.433,30.871,337.4
-8.15,30.871,337.4
-9.85,31.129,246.5
-9.567,31.129,368.0
-9.283,31.129,368.0
-9.0,31.129,341.8
-8.717,31.129,341.8
-8.433,31.129,337.4
-8.15,31.129,337.4
-9.85,31.386,247.0
-9.567,31.386,307.4
-9.283,31.386,307.4
-9.0,31.386,304.5
-8.717,31.386,304.5
-8.433,31.386,290.4
-8.15,31.386,290.4
-9.85,31.643,247.0
-9.567,31.643,307.4
-9.283,31.643,307.4
-9.0,31.643,304.5
-8.717,31.643,304.5
-8.433,31.643,290.4
-8.15,31.643,290.4
-9.85,31.9,274.3
-9.567,31.9,316.0
-9.283,31.9,316.0
-9.0,31.9,304.2
-8.717,31.9,304.2
-8.433,31.9,310.8
-8.15,31.9,310.8
