lon,lat,precip_mm
-9.95,28.4,138.1
-9.512,28.4,77.9
-9.075,28.4,77.9
-8.637,28.4,54.7
-8.2,28.4,56.6
-7.762,28.4,57.7
-7.325,28.4,57.7
-6.888,28.4,65.8
-6.45,28.4,53.5
-9.95,28.744,138.1
-9.512,28.744,77.9
-9.075,28.744,77.9
-8.637,28.744,54.7
-8.2,28.744,56.6
-7.762,28.744,57.7
-7.325,28.744,57.7
-6.888,28.744,65.8
-6.45,28.744,53.5
-9.95,29.087,197.0
-9.512,29.087,140.5
-9.075,29.087,140.5
-8.637,29.087,65.3
-8.2,29.087,66.6
-7.762,29.087,61.9
-7.325,29.087,61.9
-6.888,29.087,79.0
-6.45,29.087,64.6
-9.95,29.431,251.9
-9.512,29.431,257.9
-9.075,29.431,257.9
-8.637,29.431,126.4
-8.2,29.431,143.1
-7.762,29.431,91.6
-7.325,29.431,91.6
-6.888,29.431,107.4
-6.45,29.431,79.8
-9.95,29.775,209.6
-9.512,29.775,291.7
-9.075,29.775,291.7
-8.637,29.775,217.3
-8.2,29.775,251.0
-7.762,29.775,160.2
-7.325,29.775,160.2
-6.888,29.775,155.9
-6.45,29.775,95.5
-9.95,30.119,209.6
-9.512,30.119,291.7
-9.075,30.119,291.7
-8.637,30.119,217.3
-8.2,30.119,251.0
-7.762,30.119,160.2
-7.325,30.119,160.2
-6.888,30.119,155.9
-6.45,30.119,95.5
-9.95,30.462,197.8
-9.512,30.462,266.3
-9.075,30.462,266.3
-8.637,30.462,254.5
-8.2,30.462,240.6
-7.762,30.462,209.2
-7.325,30.462,209.2
-6.888,30.462,144.0
-6.45,30.462,98.0
-9.95,30.806,246.5
-9.512,30.806,368.0
-9.075,30.806,368.0
-8.637,30.806,341.8
-8.2,30.806,337.4
-7.762,30.806,274.4
-7.325,30.806,274.4
-6.888,30.806,211.6
-6.45,30.806,160.0
-9.95,31.15,246.5
-9.512,31.15,368.0
-9.075,31.15,368.0
-8.637,31.15,341.8
-8.2,31.15,337.4
-7.762,31.15,274.4
-7.325,31.15,274.4
-6.888,31.15,211.6
-6.45,31.15,160.0
