region,date,soil_cm
Souss-Massa (my region),2002-04-01,43.348
Souss-Massa (my region),2002-05-01,40.911
Souss-Massa (my region),2002-06-01,40.144
Souss-Massa (my region),2002-07-01,39.816
Souss-Massa (my region),2002-08-01,39.642
Souss-Massa (my region),2002-09-01,39.484
Souss-Massa (my region),2002-10-01,39.466
Souss-Massa (my region),2002-11-01,41.41
Souss-Massa (my region),2002-12-01,44.542
Souss-Massa (my region),2003-01-01,43.429
Souss-Massa (my region),2003-02-01,41.867
Souss-Massa (my region),2003-03-01,41.341
Souss-Massa (my region),2003-04-01,40.74
Souss-Massa (my region),2003-05-01,40.105
Souss-Massa (my region),2003-06-01,39.763
Souss-Massa (my region),2003-07-01,39.483
Souss-Massa (my region),2003-08-01,39.39
Souss-Massa (my region),2003-09-01,39.227
Souss-Massa (my region),2003-10-01,40.505
Souss-Massa (my region),2003-11-01,42.306
Souss-Massa (my region),2003-12-01,43.105
Souss-Massa (my region),2004-01-01,41.531
Souss-Massa (my region),2004-02-01,41.962
Souss-Massa (my region),2004-03-01,42.371
Souss-Massa (my region),2004-04-01,41.305
Souss-Massa (my region),2004-05-01,40.783
Souss-Massa (my region),2004-06-01,40.003
Souss-Massa (my region),2004-07-01,39.623
Souss-Massa (my region),2004-08-01,39.437
Souss-Massa (my region),2004-09-01,39.304
Souss-Massa (my region),2004-10-01,39.303
Souss-Massa (my region),2004-11-01,40.14
Souss-Massa (my region),2004-12-01,40.803
Souss-Massa (my region),2005-01-01,40.262
Souss-Massa (my region),2005-02-01,40.006
Souss-Massa (my region),2005-03-01,42.429
Souss-Massa (my region),2005-04-01,40.364
Souss-Massa (my region),2005-05-01,39.691
Souss-Massa (my region),2005-06-01,39.362
Souss-Massa (my region),2005-07-01,39.068
Souss-Massa (my region),2005-08-01,38.957
Souss-Massa (my region),2005-09-01,38.815
Souss-Massa (my region),2005-10-01,40.73
Souss-Massa (my region),2005-11-01,40.223
Souss-Massa (my region),2005-12-01,41.269
Souss-Massa (my region),2006-01-01,42.81
Souss-Massa (my region),2006-02-01,46.413
Souss-Massa (my region),2006-03-01,44.578
Souss-Massa (my region),2006-04-01,42.418
Souss-Massa (my region),2006-05-01,41.46
Souss-Massa (my region),2006-06-01,40.896
Souss-Massa (my region),2006-07-01,40.523
Souss-Massa (my region),2006-08-01,40.228
Souss-Massa (my region),2006-09-01,40.037
Souss-Massa (my region),2006-10-01,40.161
Souss-Massa (my region),2006-11-01,40.412
Souss-Massa (my region),2006-12-01,40.462
Souss-Massa (my region),2007-01-01,40.121
Souss-Massa (my region),2007-02-01,40.96
Souss-Massa (my region),2007-03-01,40.025
Souss-Massa (my region),2007-04-01,39.87
Souss-Massa (my region),2007-05-01,39.597
Souss-Massa (my region),2007-06-01,39.438
Souss-Massa (my region),2007-07-01,39.31
Souss-Massa (my region),2007-08-01,39.38
Souss-Massa (my region),2007-09-01,39.242
Souss-Massa (my region),2007-10-01,39.208
Souss-Massa (my region),2007-11-01,39.473
Souss-Massa (my region),2007-12-01,39.902
Souss-Massa (my region),2008-01-01,39.788
Souss-Massa (my region),2008-02-01,39.821
Souss-Massa (my region),2008-03-01,39.534
Souss-Massa (my region),2008-04-01,39.169
Souss-Massa (my region),2008-05-01,38.996
Souss-Massa (my region),2008-06-01,38.886
Souss-Massa (my region),2008-07-01,38.785
Souss-Massa (my region),2008-08-01,38.728
Souss-Massa (my region),2008-09-01,39.55
Souss-Massa (my region),2008-10-01,39.992
Souss-Massa (my region),2008-11-01,41.262
Souss-Massa (my region),2008-12-01,40.247
Souss-Massa (my region),2009-01-01,41.469
Souss-Massa (my region),2009-02-01,44.068
Souss-Massa (my region),2009-03-01,42.972
Souss-Massa (my region),2009-04-01,41.353
Souss-Massa (my region),2009-05-01,40.099
Souss-Massa (my region),2009-06-01,40.02
Souss-Massa (my region),2009-07-01,39.452
Souss-Massa (my region),2009-08-01,39.137
Souss-Massa (my region),2009-09-01,39.463
Souss-Massa (my region),2009-10-01,39.167
Souss-Massa (my region),2009-11-01,38.939
Souss-Massa (my region),2009-12-01,41.21
Souss-Massa (my region),2010-01-01,46.99
Souss-Massa (my region),2010-02-01,50.343
Souss-Massa (my region),2010-03-01,52.876
Souss-Massa (my region),2010-04-01,48.645
Souss-Massa (my region),2010-05-01,46.189
Souss-Massa (my region),2010-06-01,44.589
Souss-Massa (my region),2010-07-01,43.558
Souss-Massa (my region),2010-08-01,43.248
Souss-Massa (my region),2010-09-01,43.376
Souss-Massa (my region),2010-10-01,42.928
Souss-Massa (my region),2010-11-01,42.864
Souss-Massa (my region),2010-12-01,48.385
Souss-Massa (my region),2011-01-01,47.499
Souss-Massa (my region),2011-02-01,47.228
Souss-Massa (my region),2011-03-01,46.993
Souss-Massa (my region),2011-04-01,45.181
Souss-Massa (my region),2011-05-01,47.254
Souss-Massa (my region),2011-06-01,44.737
Souss-Massa (my region),2011-07-01,43.18
Souss-Massa (my region),2011-08-01,42.539
Souss-Massa (my region),2011-09-01,42.089
Souss-Massa (my region),2011-10-01,42.021
Souss-Massa (my region),2011-11-01,42.387
Souss-Massa (my region),2011-12-01,42.009
Souss-Massa (my region),2012-01-01,41.578
Souss-Massa (my region),2012-02-01,41.396
Souss-Massa (my region),2012-03-01,41.226
Souss-Massa (my region),2012-04-01,41.443
Souss-Massa (my region),2012-05-01,40.949
Souss-Massa (my region),2012-06-01,40.687
Souss-Massa (my region),2012-07-01,40.526
Souss-Massa (my region),2012-08-01,40.376
Souss-Massa (my region),2012-09-01,40.628
Souss-Massa (my region),2012-10-01,41.591
Souss-Massa (my region),2012-11-01,46.093
Souss-Massa (my region),2012-12-01,43.609
Souss-Massa (my region),2013-01-01,42.546
Souss-Massa (my region),2013-02-01,41.94
Souss-Massa (my region),2013-03-01,46.01
Souss-Massa (my region),2013-04-01,44.505
Souss-Massa (my region),2013-05-01,42.433
Souss-Massa (my region),2013-06-01,41.554
Souss-Massa (my region),2013-07-01,40.971
Souss-Massa (my region),2013-08-01,40.567
Souss-Massa (my region),2013-09-01,40.761
Souss-Massa (my region),2013-10-01,40.4
Souss-Massa (my region),2013-11-01,40.267
Souss-Massa (my region),2013-12-01,40.263
Souss-Massa (my region),2014-01-01,40.65
Souss-Massa (my region),2014-02-01,40.509
Souss-Massa (my region),2014-03-01,40.281
Souss-Massa (my region),2014-04-01,40.454
Souss-Massa (my region),2014-05-01,39.825
Souss-Massa (my region),2014-06-01,39.675
Souss-Massa (my region),2014-07-01,39.537
Souss-Massa (my region),2014-08-01,39.403
Souss-Massa (my region),2014-09-01,40.246
Souss-Massa (my region),2014-10-01,40.511
Souss-Massa (my region),2014-11-01,42.933
Souss-Massa (my region),2014-12-01,54.793
Souss-Massa (my region),2015-01-01,51.446
Souss-Massa (my region),2015-02-01,49.155
Souss-Massa (my region),2015-03-01,47.66
Souss-Massa (my region),2015-04-01,46.227
Souss-Massa (my region),2015-05-01,44.72
Souss-Massa (my region),2015-06-01,43.937
Souss-Massa (my region),2015-07-01,43.292
Souss-Massa (my region),2015-08-01,42.869
Souss-Massa (my region),2015-09-01,42.612
Souss-Massa (my region),2015-10-01,44.374
Souss-Massa (my region),2015-11-01,45.442
Souss-Massa (my region),2015-12-01,43.933
Souss-Massa (my region),2016-01-01,43.399
Souss-Massa (my region),2016-02-01,43.284
Souss-Massa (my region),2016-03-01,43.012
Souss-Massa (my region),2016-04-01,42.553
Souss-Massa (my region),2016-05-01,42.943
Souss-Massa (my region),2016-06-01,42.003
Souss-Massa (my region),2016-07-01,41.673
Souss-Massa (my region),2016-08-01,41.478
Souss-Massa (my region),2016-09-01,41.365
Souss-Massa (my region),2016-10-01,41.877
Souss-Massa (my region),2016-11-01,43.729
Souss-Massa (my region),2016-12-01,45.709
Souss-Massa (my region),2017-01-01,43.683
Souss-Massa (my region),2017-02-01,45.498
Souss-Massa (my region),2017-03-01,44.673
Souss-Massa (my region),2017-04-01,42.813
Souss-Massa (my region),2017-05-01,42.003
Souss-Massa (my region),2017-06-01,41.514
Souss-Massa (my region),2017-07-01,41.17
Souss-Massa (my region),2017-08-01,40.924
Souss-Massa (my region),2017-09-01,40.769
Souss-Massa (my region),2017-10-01,40.692
Souss-Massa (my region),2017-11-01,40.516
Souss-Massa (my region),2017-12-01,41.085
Souss-Massa (my region),2018-01-01,41.328
Souss-Massa (my region),2018-02-01,41.281
Souss-Massa (my region),2018-03-01,43.542
Souss-Massa (my region),2018-04-01,41.731
Souss-Massa (my region),2018-05-01,41.067
Souss-Massa (my region),2018-06-01,40.594
Souss-Massa (my region),2018-07-01,40.272
Souss-Massa (my region),2018-08-01,40.186
Souss-Massa (my region),2018-09-01,40.398
Souss-Massa (my region),2018-10-01,41.913
Souss-Massa (my region),2018-11-01,43.642
Souss-Massa (my region),2018-12-01,42.562
Souss-Massa (my region),2019-01-01,41.447
Souss-Massa (my region),2019-02-01,41.099
Souss-Massa (my region),2019-03-01,40.987
Souss-Massa (my region),2019-04-01,41.064
Souss-Massa (my region),2019-05-01,40.581
Souss-Massa (my region),2019-06-01,40.355
Souss-Massa (my region),2019-07-01,40.168
Souss-Massa (my region),2019-08-01,40.152
Souss-Massa (my region),2019-09-01,40.3
Souss-Massa (my region),2019-10-01,40.034
Souss-Massa (my region),2019-11-01,39.975
Souss-Massa (my region),2019-12-01,40.622
Souss-Massa (my region),2020-01-01,40.108
Souss-Massa (my region),2020-02-01,39.82
Souss-Massa (my region),2020-03-01,40.029
Souss-Massa (my region),2020-04-01,40.021
Souss-Massa (my region),2020-05-01,39.76
Souss-Massa (my region),2020-06-01,39.571
Souss-Massa (my region),2020-07-01,39.44
Souss-Massa (my region),2020-08-01,39.369
Souss-Massa (my region),2020-09-01,39.425
Souss-Massa (my region),2020-10-01,39.532
Souss-Massa (my region),2020-11-01,39.939
Souss-Massa (my region),2020-12-01,40.706
Souss-Massa (my region),2021-01-01,43.943
Souss-Massa (my region),2021-02-01,43.593
Souss-Massa (my region),2021-03-01,42.877
Souss-Massa (my region),2021-04-01,41.104
Souss-Massa (my region),2021-05-01,40.386
